ID;gbifID;phylum;species;authors;country;recordedBy;basisOfRecord;identifiedBy;typeStatus
10881;661027;Ascomycota;Caloplaca cinnabarina;(Ach.) Zahlbr.;Guinea;H. des Abbayes;PRESERVED_SPECIMEN;;
10880;661032;Ascomycota;Caloplaca cinnabarina;(Ach.) Zahlbr.;Guinea;H. des Abbayes;PRESERVED_SPECIMEN;;
10879;673136;Ascomycota;Canoparmelia texana;(Tuck.) Elix & Hale;Ivory Coast;H. des Abbayes;PRESERVED_SPECIMEN;;
10878;673145;Ascomycota;Canoparmelia ecaperata;(Müll.Arg.) Elix & Hale;Guinea;H. des Abbayes;PRESERVED_SPECIMEN;;
10877;824430;Ascomycota;Hypotrachyna sublaevigata;(Nyl.) Hale;Guinea;H. des Abbayes;PRESERVED_SPECIMEN;;
10876;908313;Ascomycota;Ocellularia cinerascens;Abbayes;Ivory Coast;H. des Abbayes;PRESERVED_SPECIMEN;;TYPE
10875;908315;Ascomycota;Ocellularia trypanea;Ocellularia tryphanea;Guinea;"[missing; ex herb. C. A. Agardh]";PRESERVED_SPECIMEN;;ISOTYPE
10874;908316;Ascomycota;Ocellularia trypanea;Ocellularia tryphanea;Guinea;"[missing; ex herb. C. A. Agardh]";PRESERVED_SPECIMEN;;ISOTYPE
10872;929389;Ascomycota;Parmotrema andinum;(Müll.Arg.) Hale;Ivory Coast;O. L. Lange;PRESERVED_SPECIMEN;;
10871;929700;Ascomycota;Parmotrema andinum;(Müll.Arg.) Hale;Ivory Coast;H. des Abbayes;PRESERVED_SPECIMEN;;
10870;929702;Ascomycota;Parmotrema andinum;(Müll.Arg.) Hale;Ghana;J. Jenik;PRESERVED_SPECIMEN;;
10869;950236;Ascomycota;Relicina limbata;(Nyl.) Hale;Guinea;H. des Abbayes;PRESERVED_SPECIMEN;;
10868;974465;Ascomycota;Porina tetracea;Porina tetracea;Sierra Leone;;PRESERVED_SPECIMEN;;TYPE
10867;29562454;Ascomycota;Ramalina maciformis;(Delise) Bory;Liberia;G. Thor;PRESERVED_SPECIMEN;;
10866;42373187;Zygomycota;Lichtheimia blakesleeana;Lendn.;Ghana;;LIVING_SPECIMEN;P.M. Kirk;
10865;42373484;Ascomycota;Alternaria capsici-annui;Savul. & Sandu;Senegal;;LIVING_SPECIMEN;J.C. David;
10864;42373549;Ascomycota;Xenoacremonium recifei;(Leão & Lôbo) W.Gams,;Ivory Coast;;LIVING_SPECIMEN;D. Brayford;
10863;42373556;Ascomycota;Akanthomyces gracilis;Samson & H.C.Evans;Ghana;;LIVING_SPECIMEN;D.W. Minter;
10862;42374219;Oomycota;Achlya caroliniana;Coker;Nigeria;;LIVING_SPECIMEN;J.C. David;
10861;42374241;Oomycota;Achlya dubia;Coker;Nigeria;;LIVING_SPECIMEN;J.C. David;
10859;42374671;Zygomycota;Lichtheimia blakesleeana;Lendn.;Nigeria;;LIVING_SPECIMEN;P.M. Kirk;
10856;42376120;Ascomycota;Alternaria elegans;E.G.Simmons & J.C.David;Burkina Faso;;LIVING_SPECIMEN;J.C. David;
10855;42376206;Ascomycota;Alternaria eichhorniae;Nag Raj & Ponnappa;Ghana;;LIVING_SPECIMEN;J. Gunn;
10854;42376553;Ascomycota;Acremonium polychromum;(J.F.H.Beyma) W.Gams;Sierra Leone;;LIVING_SPECIMEN;P.M. Kirk;
10853;42376555;Ascomycota;Acremonium polychromum;(J.F.H.Beyma) W.Gams;Sierra Leone;;LIVING_SPECIMEN;P.M. Kirk;
10852;42376565;Ascomycota;Alternaria dauci;(J.G.Kühn) J.W.Groves & Skolko;Ghana;;LIVING_SPECIMEN;J.C. David;
10851;42376584;Zygomycota;Lichtheimia blakesleeana;Lendn.;Nigeria;;LIVING_SPECIMEN;P.M. Kirk;
10850;42376610;Ascomycota;Acremonium polychromum;(J.F.H.Beyma) W.Gams;Ghana;;LIVING_SPECIMEN;P.M. Kirk;
10849;42380516;Ascomycota;Alternaria sesami;(E.Kawam.) Mohanty & Behera;Nigeria;;LIVING_SPECIMEN;J.C. David;
10848;42381101;Ascomycota;Arthrobotrys dactyloides;Drechsler;Nigeria;;LIVING_SPECIMEN;P.M. Kirk;
