;status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;country;only year;first_author
1;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia;Tiegh.;;;Substratum: substance, soil;;IMI132725;Sierra Leone;1968;Sivanesan, A.
2;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia;Tiegh.;;;Associated organism: Zea mays;Gramineae;IMI161978;Nigeria;;Oyeniran, J.O.
3;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia;Tiegh.;;;Associated organism: Theobroma cacao;Sterculiaceae;IMI139609;Nigeria;;Kuku, F.O. [Mrs]
4;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia;Tiegh.;;;Associated organism: Zea mays;Gramineae;IMI148066;Nigeria;;Oyeniran, J.O.
5;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia;Tiegh.;;;Associated organism: Theobroma cacao;Sterculiaceae;IMI139614;Nigeria;;Kuku, F.O. [Mrs]
6;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia;Tiegh.;;;Substratum: substance, soil;;IMI132724;Sierra Leone;1968;Sivanesan, A.
7;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia;Tiegh.;;;Associated organism: Zea mays;Gramineae;IMI138013;Nigeria;;Broadbent, J.A. [Dr]
8;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia blakesleeana;Lendn.;;;Associated organism: Plantae;Plantae;IMI15401;Ghana;1947;Dade, H.A.
9;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia blakesleeana;Lendn.;;;Substratum: seed. Associated organism: Palmae;Palmae;IMI150715;Nigeria;;Broadbent, J.A.
10;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;authentic;Absidia blakesleeana;Lendn.;;;Substratum: seedling. Associated organism: Elaeis guineensis;Palmae;IMI60061;Nigeria;1955;Bull, R.A.
11;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia blakesleeana;Lendn.;;;Substratum: seed. Associated organism: Palmae;Palmae;IMI150720;Nigeria;;Broadbent, J.A.
12;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia blakesleeana;Lendn.;;;Associated organism: Zea mays;Gramineae;IMI161977;Nigeria;;Oyeniran, J.O.
13;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia capillata;Tiegh.;;;Substratum: seed. Associated organism: Theobroma cacao;Sterculiaceae;IMI15399;Ghana;1947;Runtiny
14;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Associated organism: Theobroma cacao;Sterculiaceae;IMI151424;Nigeria;;Oyeniran, J.O.
15;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Substratum: seed. Associated organism: Palmae;Palmae;IMI150709;Nigeria;;Broadbent, J.A.
16;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Associated organism: Theobroma cacao;Sterculiaceae;IMI151425;Nigeria;;Oyeniran, J.O.
17;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Associated organism: Zea mays;Gramineae;IMI148063;Nigeria;;Oyeniran, J.O.
18;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Associated organism: Arachis hypogaea;Leguminosae;IMI112664;Gambia;;Gilman, G.A.
19;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Associated organism: Zea mays;Gramineae;IMI161969;Nigeria;;Oyeniran, J.O.
20;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Associated organism: Theobroma cacao;Sterculiaceae;IMI173111;Nigeria;1973;Oyeniran, J.O.
21;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Associated organism: Theobroma cacao;Sterculiaceae;IMI151422;Nigeria;;Oyeniran, J.O.
22;;Fungi;Zygomycota;Mucorales;Cunninghamellaceae;;Absidia corymbifera;(Cohn) Sacc. & Trotter;;;Associated organism: Vigna sinensis;Leguminosae;IMI157866;Nigeria;1971;Quansah, S.K.
