status of taxon;kingdom;phylum;order;family;cf./aff.;species;authors;Mycology Phytopathology Lichenology;ecology;substrate;host family;literature reference;only reference;only year;Benin (Dahomey);Burkina-Faso;Gambia;Ghana (Gold Coast);Guinea;Guinea Bissau;Ivory Coast;Liberia;Mali;Niger;Nigeria;Senegal;Sierra Leone;Togo;Comments
accepted;Fungi;Ascomycota;Trypetheliales;Trypetheliaceae;type of a new species;Bathelium mastoideum;Afzel. ex Ach.;l;lichenized;corticolous;;Acharius 1803: 111;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;type of a new species;Pyrenula mamillana;(Ach.) Trevis.;l;lichenized;corticolous;;Acharius 1803: 120, cited as Verrucaria mamillana;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;type of a new species;Pyrenula aspistea;(Afzel. ex Ach.) Ach.;l;lichenized;corticolous;;Acharius 1803: 121, cited as Verrucaria aspistea;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Ostropales;Porinaceae;type of a new species;Porina tetracerae;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1803: 121, cited as Verrucaria tetracerae;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
name invalid, later homonym;Fungi;Ascomycota;Verrucariales;Verrucariaceae;type of a new species (later homonym);Verrucaria ocellata;Afzel. ex Ach.;l;lichenized;corticolous;;Acharius 1803: 123;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Caliciales;Caliciaceae;type of a new species;Dirinaria aegialita;(Afzel. ex Ach.) B.J. Moore;l;lichenized;corticolous;;Acharius 1803: 191, cited as Parmelia aegialita;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Arthoniales;Lecanographaceae;type of a new species;Zwackhia prosodea;(Afzel.) Ertz;l;lichenized;corticolous;;Acharius 1803: 22, cited as Opegrapha prosodea;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Peltigerales;Pannariaceae;type of a new species;Physma byrsaeum;(Afzel. ex Ach.) Tuck.;l;lichenized;corticolous;;Acharius 1803: 222, cited as Parmelia byrsaea;Acharius 1803;1803;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Arthoniales;Lecanographaceae;;Zwackhia prosodea;(Afzel.) Ertz;l;lichenized;corticolous;;Acharius 1810: 256, cited as Opegrapha prosodea;Acharius 1810;1810;;;;;;;;;;;;;x;;leg. Afzelius
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula mamillana;(Ach.) Trevis.;l;lichenized;corticolous;;Acharius 1810: 279, cited as Verrucaria mamillana;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Porinaceae;;Porina tetracerae;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1810: 280, cited as Verrucaria tetracerae;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula aspistea;(Afzel. ex Ach.) Ach.;l;lichenized;corticolous;;Acharius 1810: 281, cited as Verrucaria aspistea;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Trypetheliales;Trypetheliaceae;;Bathelium mastoideum;Afzel. ex Ach.;l;lichenized;corticolous;;Acharius 1810: 307, cited as Trypethelium mastoideum;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Pyrenulales;Pyrenulaceae;;Pyrenula ocellata;Ach.;l;lichenized;corticolous;;Acharius 1810: 318;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Caliciales;Caliciaceae;;Dirinaria aegialita;(Afzel. ex Ach.) B.J. Moore;l;lichenized;saxicolous;;Acharius 1810: 423, cited as Lecanora aegialita;Acharius 1810;1810;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Peltigerales;Collemataceae;type of a new species;Collema byrsinum;Ach.;l;lichenized;on bryophytes;;Acharius 1810: 642;Acharius 1810;1810;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Thelotrema fumosum;Ach.;l;lichenized;corticolous;;Acharius 1812: 91;Acharius 1812;1812;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Thelotrema obturatum;Ach.;l;lichenized;corticolous;;Acharius 1812: 92;Acharius 1812;1812;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Ocellularia cavata;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1812: 92, cited as Thelotrema cavatum;Acharius 1812;1812;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Ocellularia cavata;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1812: 92, cited as Thelotrema cavatum;Acharius 1812;1812;;;;;;;;;;;;;x;;
accepted;Fungi;Ascomycota;Ostropales;Graphidaceae;type of a new species;Ocellularia discoidea;(Ach.) Müll. Arg.;l;lichenized;corticolous;;Acharius 1812: 94, cited as Thelotrema discoideum;Acharius 1812;1812;;;;;;;;;;;;;x;;Guinea s.l. (Afzelius)
