"";"records";"n_species";"n_publications";"chao";"chao.se";"boot";"boot.se";"x";"y";"sq_km";"vascular_plants";"hawksworth_estimate";"known_richness_perc"
"West Africa";15979;4730;833;7407.79490646833;147.203553862444;5772.94710657163;150.981460562084;NA;NA;5983016.04106708;7072;42432;11.1472473604827
"Benin";895;422;91;918.518340814116;87.5335286955481;530.808183210361;30.6485299160187;2.29892581701279;9.30031776428223;117033.663000692;2807;16842;2.50564066025413
"Burkina Faso";217;132;60;228.774047619048;28.5602412616141;167.273832234422;18.5500690781081;-1.56718730926514;12.2512946128845;274748.03628472;2080;12480;1.05769230769231
"Gambia";135;117;22;506.491258741259;133.97903733464;155.650462062621;21.2323226695244;-15.3257565498352;13.4381346702576;10353.602992508;1760;10560;1.10795454545455
"Ghana";4114;1528;228;1831.48514691637;34.155296653171;1809.78696774959;179.342325770389;-1.02834463119507;7.96467304229736;240495.740035785;2971;17826;8.57174913048356
"Guinea";1283;797;156;1855.56912318451;130.440696621358;1021.61705916773;68.077347680958;-12.1965088844299;9.94792485237122;278059.768730436;2923;17538;4.54441783555708
"Guinea-Bissau";20;19;8;160.75;157.162137615903;25.2850733995438;4.80544068314313;-15.1926760673523;11.8100342750549;32181.7130770479;1507;9042;0.210130502101305
"Ivory Coast";1744;1150;230;3029.39304347826;190.943895795467;1494.57433056829;90.1357984219746;-5.55471241474152;7.53769540786743;323543.739742016;3853;23118;4.97447876113851
"Liberia";183;159;67;933.761194029851;252.464973231622;213.027378293028;24.3597270517777;-9.45371031761169;6.44450712203979;96023.8560965651;2403;14418;1.10278818143987
"Mali";152;117;47;376.793491864831;84.0936740369913;153.901262485794;12.6959092352791;-4.02297329902649;17.5694332122803;1263106.48973126;1739;10434;1.1213341000575
"Niger";117;85;33;221.565656565657;50.2753835294006;110.60827090949;10.6027966742673;8.06352523714304;13.8976321220398;2104761.77743343;1218;7308;1.16310892172961
"Nigeria";2376;1332;312;2974.93347193347;154.109222627834;1710.48371791647;72.9215351451411;8.65659201145172;9.07512235641479;915097.828635072;3378;20268;6.57193605683837
"Senegal";502;301;105;702.222448979592;79.3658861112278;387.221738736185;26.3109448656655;-14.4590334892273;14.5034675598145;198093.622265467;2300;13800;2.18115942028986
"Sierra Leone";3474;1630;270;2542.8604171892;80.581874853416;2030.03777939701;103.353271664085;-11.7879395484924;8.4515380859375;72154.2654371975;1883;11298;14.4273322711984
"Togo";767;546;129;1778.93023255814;191.625400751279;712.222665261428;61.8052782068716;0.843872252851725;8.60251426696777;57361.9376048758;3134;18804;2.90363752393108
