"";"n";"first";"last"
"Adandonon";2;2004;2014
"Antonin";8;1998;2013
"Badou";1;2018;2018
"Beed";1;2011;2011
"Boa";1;2004;2004
"Boni";1;2015;2015
"Bridge";1;1997;1997
"Buyck";5;1993;2008
"Carvajal-Campos";1;2017;2017
"Chevaugeon";7;1950;1956
"Christan";1;2009;2009
"Codjia";1;2014;2014
"Crous";3;2003;2016
"Cruz-Laufer";1;2019;2019
"de Crop";1;2016;2016
"de Kesel";4;2002;2016
"Denchev";3;2014;2016
"Dring DM";4;1964;1980
"Driver";1;2000;2000
"Ellis";16;1957;1976
"Ertz";2;2008;2009
"Evans";4;1974;2010
"Eyi Ndong";1;2011;2011
"Fadeyi";1;2019;2019
"Fandohan";1;2005;2005
"Ge";1;2018;2018
"Hansford";13;1945;1966
"Hariot";2;1904;1910
"Hell";1;2009;2009
"Houssou";1;2009;2009
"Ihayere";1;2010;2010
"Jeger";1;1998;1998
"Johnson JM";2;2013;2015
"Kreisel";2;1967;2001
"Lenne ";1;1990;1990
"Maba";4;2014;2015
"Manier";3;1972;1974
"Marley";1;2002;2002
"Mbogne";1;2015;2015
"Meswaet";1;2019;2019
"Oehl";2;2011;2014
"Olou";2;2019;2019
"Osemwegie";7;2002;2014
"Paris";1;1902;1902
"Piatek";5;2014;2018
"present publication";1;2019;2019
"Roger L";2;1951;1953
"Shah";1;1994;1994
"Sikirou";1;2015;2015
"Tchabi";3;2008;2009
"Tovide";1;2018;2018
"Turner PD";1;1971;1971
"van Rooij";1;2003;2003
"Verbeken";3;1995;2010
"Wendt";1;2017;2017
"Yaninek";1;1996;1996
"Yorou";12;2001;2014
"Zhao";1;2011;2011
"Ba";4;2000;2012
"Couch";1;1985;1985
"Crouch";1;2014;2014
"Damm";2;2009;2014
"Diedhiou";3;2004;2005
"Du";1;2005;2005
"Ellison";1;2015;2015
"Ferreira";1;2018;2018
"Gardt";1;2011;2011
"Guissou";3;2005;2015
"Hama";4;2008;2012
"Holden";1;1970;1970
"Kane";2;2013;2013
"Kini";1;2002;2002
"Klaubauf";1;2014;2014
"Millogo";1;2004;2004
"Ouoba";1;2015;2015
"Patouillard";5;1889;1912
"Paul";1;2015;2015
"Raboin";1;2007;2007
"Rammeloo";3;1978;1993
"Richardson";1;1990;1990
"Sanon E";1;2014;2014
"Sanon KB";4;1997;2009
"Sawadogo";1;1990;1990
"Sere";1;2007;2007
"Simmons";2;2000;2007
"Thomas MD";2;1985;1991
"Thouvenel";1;1980;1980
"Vanky";5;1997;2011
"von Arx";3;1965;1987
"Woudenberg";2;2013;2015
"Wulff";1;2010;2010
"Zida";1;2008;2008
"Aptroot";2;1995;2001
"Asaolu";1;2012;2012
"Brady";3;1980;1986
"Deighton";23;1936;1990
"Gilman";1;1969;1969
"Haerkoenen";2;1981;1993
"Lenne";1;1989;1989
"Lubbe";1;2004;2004
"Penney";2;2009;2012
"Seifert";1;1985;1985
"Shen";1;2001;2001
"Sivanesan";12;1970;1987
"Sutton";9;1963;1980
"Wakefield AE";1;1990;1990
"Adeniji";1;1970;1970
"Alcorn";1;1990;1990
"Amano";1;1986;1986
