"";"Benin";"Burkina Faso";"Gambia";"Ghana";"Guinea";"Guinea-Bissau";"Ivory Coast";"Liberia";"Mali";"Niger";"Nigeria";"Senegal";"Sierra Leone";"Togo";"n_countries"
"Abortiporus roseus";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Absidia capillata";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Absidia glauca";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Acanthonitschkea argentinensis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Acanthonitschkea tristis";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Acanthostoma reflexum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Acarocybe deightonii";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Acaulium acremonium";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Acaulospora bireticulata";0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
"Acaulospora capsicula";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora cavernata";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora colombiana";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Acaulospora colossica";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora delicata";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora denticulata";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Acaulospora dilatata";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora elegans";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora excavata";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Acaulospora kentinensis";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora lacunosa";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Acaulospora laevis";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Acaulospora longula";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora mellea";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Acaulospora minuta";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora morrowiae";1;0;0;0;0;0;0;0;1;0;0;0;0;0;2
"Acaulospora rehmii";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Acaulospora rugosa";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora scrobiculata";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Acaulospora spinosa";1;0;0;0;0;0;0;0;0;0;1;0;0;0;2
"Acaulospora spinosissima";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Acaulospora tuberculata";1;0;0;0;0;0;1;0;0;0;0;0;0;0;2
"Achrotelium urerae";0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"Acladium curtisii";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
"Acremoniella atra";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
"Acremoniula sarcinellae";0;0;0;0;1;0;0;0;1;0;0;1;1;0;4
