"";"group";"records";"perc"
"1";"parasitic on vascular plants";1756;36.3561076604555
"2";"saprotrophic";1305;27.0186335403727
"3";"lichenized";558;11.5527950310559
"4";"saprotrophic or parasitic on vascular plants";302;6.25258799171843
"5";"ectomycorrhizal";248;5.13457556935818
"6";"parasitic on arthropods";212;4.38923395445135
"7";"phagocytotic";109;2.25672877846791
"8";"hyperparasitic";103;2.13250517598344
"9";"arbuscular mycorrhizal";91;1.88405797101449
"10";"unclear";71;1.46997929606625
"11";"symbiotic with arthropods";23;0.476190476190476
"12";"parasitic on humans";19;0.393374741200828
"13";"lichenicolous";16;0.331262939958592
"14";"parasitic on fungi";5;0.10351966873706
"15";"nematophagous";4;0.082815734989648
"16";"parasitic on mosses or liverworts";4;0.082815734989648
"17";"parasitic on vertebrates";2;0.041407867494824
"18";"fossil";1;0.020703933747412
"19";"parasitic on plants";1;0.020703933747412
