"taxon";"species";"species_perc";"Benin";"Benin_perc";"Burkina Faso";"Burkina Faso_perc";"Gambia";"Gambia_perc";"Ghana";"Ghana_perc";"Guinea";"Guinea_perc";"Guinea-Bissau";"Guinea-Bissau_perc";"Ivory Coast";"Ivory Coast_perc";"Liberia";"Liberia_perc";"Mali";"Mali_perc";"Niger";"Niger_perc";"Nigeria";"Nigeria_perc";"Senegal";"Senegal_perc";"Sierra Leone";"Sierra Leone_perc";"Togo";"Togo_perc";"West Africa";"West Africa_perc"
"Fungi and fungus-like";138054;100;432;100;131;100;118;100;1513;100;812;100;19;100;1146;100;159;100;103;100;85;100;1273;100;277;100;1578;100;526;100;4829;100
"Fungi";135110;97.8675011227491;420;97.22;128;97.71;96;81.36;1494;98.74;801;98.65;19;100;1135;99.04;110;69.18;101;98.06;84;98.82;1182;92.85;272;98.19;1550;98.23;522;99.24;4675;96.81
"Ascomycota";83837;60.7276862676924;99;22.92;57;43.51;79;66.95;995;65.76;543;66.87;19;100;750;65.45;68;42.77;62;60.19;37;43.53;626;49.18;131;47.29;1207;76.49;215;40.87;2986;61.83
"Amphisphaeriales";1075;0.778680806061396;1;0.23;0;0;2;1.69;18;1.19;8;0.99;0;0;12;1.05;2;1.26;0;0;1;1.18;8;0.63;2;0.72;9;0.57;3;0.57;38;0.79
"Arthoniales";460;0.333202949570458;12;2.78;0;0;2;1.69;0;0;9;1.11;0;0;27;2.36;3;1.89;0;0;0;0;8;0.63;2;0.72;13;0.82;0;0;65;1.35
"Asterinales";1605;1.16258855230562;2;0.46;0;0;0;0;53;3.5;5;0.62;0;0;4;0.35;0;0;0;0;0;0;0;0;1;0.36;33;2.09;9;1.71;73;1.51
"Baeomycetales";97;0.0702623611050748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.13;0;0;2;0.04
"Boliniales";48;0.0347690034334391;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Botryosphaeriales";4239;3.07053761571559;2;0.46;2;1.53;2;1.69;18;1.19;13;1.6;0;0;27;2.36;2;1.26;4;3.88;1;1.18;8;0.63;9;3.25;19;1.2;1;0.19;65;1.35
"Caliciales";NA;NA;1;0.23;0;0;11;9.32;0;0;18;2.22;0;0;17;1.48;0;0;0;0;0;0;13;1.02;1;0.36;15;0.95;1;0.19;54;1.12
