"taxon";"species";"species_perc";"Benin";"Benin_perc";"Burkina Faso";"Burkina Faso_perc";"Gambia";"Gambia_perc";"Ghana";"Ghana_perc";"Guinea";"Guinea_perc";"Guinea-Bissau";"Guinea-Bissau_perc";"Ivory Coast";"Ivory Coast_perc";"Liberia";"Liberia_perc";"Mali";"Mali_perc";"Niger";"Niger_perc";"Nigeria";"Nigeria_perc";"Senegal";"Senegal_perc";"Sierra Leone";"Sierra Leone_perc";"Togo";"Togo_perc";"West Africa";"West Africa_perc"
"Fungi and fungus-like";138054;100;422;100;132;100;117;100;1528;100;797;100;19;100;1150;100;159;100;117;100;85;100;1332;100;301;100;1630;100;546;100;4730;100
"Fungi";135110;97.8675011227491;410;97.16;129;97.73;95;81.2;1509;98.76;786;98.62;19;100;1139;99.04;110;69.18;112;95.73;83;97.65;1240;93.09;293;97.34;1600;98.16;540;98.9;4578;96.79
"Ascomycota";83837;60.7276862676924;92;21.8;58;43.94;78;66.67;1003;65.64;534;67;19;100;753;65.48;68;42.77;67;57.26;35;41.18;660;49.55;134;44.52;1239;76.01;216;39.56;2914;61.61
"Amphisphaeriales";1075;0.778680806061396;1;0.24;0;0;2;1.71;18;1.18;8;1;0;0;12;1.04;2;1.26;0;0;1;1.18;9;0.68;2;0.66;10;0.61;3;0.55;38;0.8
"Arthoniales";460;0.333202949570458;12;2.84;0;0;2;1.71;0;0;9;1.13;0;0;28;2.43;3;1.89;0;0;0;0;8;0.6;2;0.66;7;0.43;0;0;60;1.27
"Asterinales";1605;1.16258855230562;2;0.47;0;0;0;0;53;3.47;5;0.63;0;0;5;0.43;0;0;0;0;0;0;0;0;1;0.33;34;2.09;9;1.65;74;1.56
"Baeomycetales";97;0.0702623611050748;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.12;0;0;2;0.04
"Boliniales";48;0.0347690034334391;0;0;0;0;0;0;0;0;0;0;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.02
"Botryosphaeriales";4239;3.07053761571559;2;0.47;2;1.52;2;1.71;18;1.18;13;1.63;0;0;27;2.35;2;1.26;4;3.42;1;1.18;7;0.53;9;2.99;19;1.17;1;0.18;65;1.37
"Caliciales";NA;NA;1;0.24;0;0;11;9.4;0;0;18;2.26;0;0;17;1.48;0;0;0;0;0;0;13;0.98;1;0.33;15;0.92;1;0.18;54;1.14
"Calosphaeriales";82;0.0593970475321251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Candelariales";45;0.0325959407188491;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Capnodiales";749;0.542541324409289;0;0;0;0;3;2.56;7;0.46;8;1;0;0;5;0.43;1;0.63;1;0.85;0;0;5;0.38;2;0.66;3;0.18;0;0;21;0.44
"Chaetomellales";NA;NA;0;0;0;0;0;0;0;0;2;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.04
"Chaetosphaeriales";517;0.374491141147667;0;0;0;0;0;0;1;0.07;0;0;0;0;7;0.61;0;0;1;0.85;0;0;3;0.23;0;0;5;0.31;1;0.18;16;0.34
"Chaetothyriales";612;0.443304793776348;0;0;0;0;0;0;4;0.26;1;0.13;0;0;8;0.7;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;11;0.23
"Conophorales";257;0.186159039216538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Coronophorales";257;0.186159039216538;0;0;0;0;0;0;4;0.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.12;0;0;5;0.11
"Diaporthales";3373;2.44324684543729;0;0;0;0;0;0;5;0.33;3;0.38;0;0;9;0.78;2;1.26;1;0.85;1;1.18;8;0.6;4;1.33;6;0.37;3;0.55;32;0.68
"Dothideales";780;0.564996305793385;0;0;0;0;0;0;0;0;0;0;0;0;4;0.35;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;5;0.11
"Erysiphales";991;0.717835050052878;2;0.47;0;0;0;0;13;0.85;7;0.88;0;0;6;0.52;1;0.63;0;0;1;1.18;7;0.53;11;3.65;11;0.67;5;0.92;34;0.72
"Eurotiales";1364;0.988019180900227;15;3.55;1;0.76;10;8.55;39;2.55;1;0.13;0;0;46;4;3;1.89;9;7.69;1;1.18;47;3.53;0;0;12;0.74;9;1.65;102;2.16
"Geoglossales";110;0.0796789662016312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;1;0.02
"Glomerellales";496;0.359279702145537;2;0.47;3;2.27;2;1.71;11;0.72;8;1;0;0;17;1.48;3;1.89;5;4.27;1;1.18;16;1.2;12;3.99;7;0.43;4;0.73;35;0.74
"Helotiales";7410;5.36746490503716;0;0;1;0.76;1;0.85;9;0.59;1;0.13;0;0;6;0.52;0;0;1;0.85;0;0;12;0.9;1;0.33;19;1.17;1;0.18;39;0.82
"Hypocreales";4779;3.46168890434178;22;5.21;10;7.58;11;9.4;135;8.84;27;3.39;2;10.53;66;5.74;12;7.55;11;9.4;7;8.24;53;3.98;8;2.66;79;4.85;19;3.48;260;5.5
"Hysteriales";169;0.122415866255233;0;0;0;0;0;0;3;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;4;0.08
"Ascomycota_Incertae_sedis";NA;NA;3;0.71;3;2.27;1;0.85;140;9.16;37;4.64;0;0;65;5.65;3;1.89;3;2.56;1;1.18;52;3.9;7;2.33;194;11.9;18;3.3;349;7.38
"Laboulbeniales";2325;1.68412360380721;0;0;0;0;0;0;3;0.2;5;0.63;10;52.63;8;0.7;2;1.26;0;0;0;0;1;0.08;6;1.99;74;4.54;0;0;96;2.03
"Lecanorales";3991;2.89089776464282;2;0.47;0;0;4;3.42;11;0.72;95;11.92;0;0;95;8.26;2;1.26;1;0.85;0;0;34;2.55;0;0;12;0.74;8;1.47;175;3.7
"Lecideales";494;0.357830993669144;0;0;0;0;0;0;0;0;1;0.13;0;0;0;0;0;0;0;0;0;0;3;0.23;0;0;2;0.12;0;0;5;0.11
"Lichinales";161;0.11662103234966;0;0;0;0;0;0;0;0;2;0.25;0;0;15;1.3;0;0;0;0;0;0;5;0.38;0;0;0;0;0;0;20;0.42
"Lulworthiales";58;0.0420125458154056;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1.89;0;0;0;0;0;0;0;0;0;0;0;0;3;0.06
"Magnaporthales";277;0.200646123980471;1;0.24;3;2.27;1;0.85;6;0.39;3;0.38;0;0;6;0.52;0;0;3;2.56;1;1.18;6;0.45;1;0.33;8;0.49;2;0.37;13;0.27
"Melanosporales";159;0.115172323873267;0;0;0;0;0;0;1;0.07;1;0.13;0;0;0;0;0;0;0;0;0;0;1;0.08;0;0;1;0.06;0;0;1;0.02
"Meliolales";2509;1.81740478363539;3;0.71;0;0;1;0.85;142;9.29;21;2.63;0;0;10;0.87;0;0;0;0;0;0;4;0.3;0;0;229;14.05;13;2.38;269;5.69
"Microascales";813;0.588899995653875;1;0.24;0;0;0;0;6;0.39;1;0.13;0;0;8;0.7;5;3.14;0;0;0;0;3;0.23;1;0.33;2;0.12;1;0.18;19;0.4
"Microthyriales";872;0.631636895707477;0;0;0;0;0;0;21;1.37;9;1.13;0;0;1;0.09;0;0;0;0;0;0;0;0;0;0;11;0.67;5;0.92;30;0.63
"Monoblastiales";NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0.17;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;3;0.06
"Muyocopronales";51;0.036942066148029;0;0;0;0;0;0;0;0;0;0;0;0;2;0.17;0;0;0;0;0;0;0;0;0;0;1;0.06;0;0;2;0.04
